teks,label
"Sesuatu yg Sdm nya msh dibawah standart , diPaksain jd , mk nya hasil nya akan mengecewakan rakyat nya",negatif
"Dollar naik gk pengaruh terhadap pengusaha ato pun pejabat,, lha mrk sdh kaya raya,,, gk bergeming,, tetap rakyat jelatalah yg terimbas Pak!!!
Pribahasa : 
Gajah sama Singa bertempur , yg mati duluan itu semut "" terinjak sama mrk !!!",negatif
Intinya omon2 pengen rakyat indonesia kyk jaman penjajahan miskin... Semua... Biar bisa mimpin full indonesia berapa tahun jg,negatif
Manusia durjana semua ini,negatif
"Gerombolan pa ini sihh??????? 
kok keknya Pada saling paham",netral
Jangan kasih mikrofon ke wowo bikin enek pngn muntah,netral
😂😂😂😂mbg ttp lnjut,netral
Ya iyalah wong semua yg hadir disitu pada punya dollar .... makin melemah makin teesenyum itu semua 😂😂😂,netral
"Tapi ada benernya Lo, setelah statement ini, rupiah sedikit menguat Lo..!??",netral
"Tenang saja gak bakalan 2 priode, semua yg gak benar akan di ganti",netral
"Dolar naik terus tidak masalah Pak Prabowo, rakyat 58 siap bayar pajak berapapun kenaikannya, kami masih kuat dan tabah Paaaaaakkk !!!",positif
"Purbaya senyum, rakyat nangiss 😢",negatif
Purbaya otaknya diperas mati matian menjaga APBN tetap stabil tapi si omon omon seenak jidat ngabisin duit ratusan triliun bikin program nga jelas yg returnnya nol..sungguh membagongkan..,negatif
Mentri pembantu BPK ni. Sering muji diri sendri percaya diri. Kinerja 0 persen omong kosong,negatif
"Pejabat konoha omon2, siap2 tunggu kehancuran ekonomi sebentar lagi",negatif
IBLIS sampai sungkem,netral
"Si Purbaya yang tersenyum, rakyat bawah yang menjerit, sekarang saja kebutuhan pokok sudah pada naik 🤮🤮🤮",negatif
Yakin 100 sama.pak prabowo,positif
Pusingggg ko gini,netral
"Pidato apa sih mbahh woo...
Rakyatmu menderita...",negatif
"Senyum kecut 😂😂, makin kacau",negatif
Kira kira Indonesia Masih bisa terselamatkan apa gak yah,netral
"Cina sengaja melemahkan nilai yuanya, justru cepat maju dengan catatan negara harus mengenjot export serta bisa menghasilkan barang yang berkulitas dipasaran internasional",netral
Pemimpin tanpa visi... Jogetin aja,negatif
"Orang desa tidak pakai dolar, berarti dolar berapapun nilai tukarnya tidak masalah? MASA BEGITU???????",netral
"Kok gini amat ny,,miris dengar ny.",negatif
"Pangeran MBG si Mas Bowo Gemoy anti kritik lagi stand up comedy, .. . .",netral
Malu punya presiden kok bodoh,negatif
"Saya prrcsya  sams Presiden. Prabowo Subianto dan Menkeu  Purbsya  , srbsbnya usng yg beredsrfi srluruh dunia itu   70^%  prmiliknya  orang Indonenrsia.❤❤",positif
